Feature_Count,Feature,Mandatory,Outer_Evaluations,Selection_Count,Selection_Frequency,Zero_Count,Mean_Rank,Rank_SD,Mean_Normalized_Hybrid_Feature_Score,Hybrid_Score_SD
12,Be,False,25,0,0.0,25,,,,
12,Cr,False,25,17,0.68,8,11.705882352941176,0.5878675320972554,0.23285024990351527,0.06932915307154808
12,Cu,False,25,25,1.0,0,8.44,2.4846193538112296,0.3124261821488894,0.034768841115589484
12,Fe,False,25,25,1.0,0,7.96,0.8406346808612327,0.3082748235242073,0.07964601607536725
12,Li,False,25,8,0.32,17,11.75,0.7071067811865477,0.1956336647845474,0.041776776574986664
12,Mg,False,25,25,1.0,0,5.0,0.0,0.6552573840708357,0.12257077438745272
12,Mn,False,25,2,0.08,23,11.5,0.7071067811865476,0.13744489945669508,0.03009240621528807
12,Ni,False,25,0,0.0,25,,,,
12,Sc,False,25,23,0.92,2,9.478260869565217,1.5335509956067592,0.2892462466558134,0.09986091200825024
12,Si,False,25,25,1.0,0,9.36,1.0360180178613372,0.27971017107481977,0.08242044290582368
12,Tage,True,25,25,1.0,0,2.0,0.0,0.43993167077787604,0.05311039720687134
12,Ti,False,25,25,1.0,0,6.52,0.714142842854285,0.3458356981851541,0.08248356683657943
12,Tsol,True,25,25,1.0,0,1.0,0.0,0.648650940100894,0.09155999413595461
12,V,False,25,0,0.0,25,,,,
12,Zn,False,25,25,1.0,0,4.0,0.0,1.0,0.0
12,Zr,False,25,25,1.0,0,9.36,1.2543258481484518,0.27789676783752265,0.0644323444154993
12,tage,True,25,25,1.0,0,3.0,0.0,0.1526089301470054,0.10264252107045475
